SUBJECT_NUMBER,Chest,Weight,Hip,Height,Waist,Inseam
9639,34.33,134.86,34.13,70.28,27.68,31.76
9665,40.43,173.58,38.35,67.44,31.77,29.87
9717,40.87,199.1,41.97,70.16,35.0,32.19
9742,36.18,133.1,34.02,66.34,28.27,31.17
9748,39.8,174.24,37.87,73.74,31.26,33.33
9775,41.46,202.84,41.65,69.41,35.28,31.44
9778,35.75,164.34,38.7,70.0,31.73,34.16
9779,38.82,175.56,38.66,71.93,32.32,33.33
9783,37.76,153.56,36.22,70.75,31.85,33.41
9792,43.9,234.74,44.13,71.69,38.46,31.56
9809,36.38,147.4,37.4,68.74,31.57,30.69
9814,43.43,209.88,40.31,71.61,37.95,32.27
9827,41.34,222.42,44.25,69.53,36.38,32.74
9841,39.13,163.68,36.18,69.49,31.89,32.98
9842,36.54,149.16,36.54,66.77,30.39,30.18
9845,42.48,206.58,41.89,68.98,35.16,32.11
9851,37.52,157.3,37.72,66.5,32.6,29.51
9855,45.51,221.1,44.25,68.23,36.73,30.14
9856,38.58,163.24,37.6,67.95,32.8,30.77
9858,41.77,192.06,39.72,70.94,35.59,32.23
9859,36.77,155.76,37.8,67.52,29.88,32.66
9860,38.11,160.38,37.87,69.57,31.1,32.03
9861,36.06,153.12,37.64,69.69,29.17,32.43
9864,33.7,144.54,35.08,68.11,28.74,34.91
9867,37.13,159.28,37.99,65.16,30.75,29.71
9871,39.96,174.68,38.58,66.89,34.17,31.32
9877,43.35,219.56,43.62,69.72,37.95,32.9
9881,38.43,171.16,38.86,65.35,34.41,29.2
9888,35.43,157.08,35.79,74.92,28.19,36.91
9897,37.95,156.2,37.01,68.98,30.71,31.56
9899,40.91,183.48,40.35,67.48,34.57,29.67
9900,40.0,206.14,41.5,71.81,34.84,34.59
9906,39.25,174.46,38.11,70.35,32.13,33.06
9909,41.65,199.1,39.57,71.22,33.31,34.35
9912,38.54,155.1,37.01,66.57,31.73,30.1
9914,43.74,220.44,43.5,70.94,39.29,32.35
9917,42.64,201.3,40.67,68.5,37.72,30.61
9922,39.45,161.7,38.23,66.61,31.46,30.77
9944,39.65,143.22,34.57,68.19,28.58,31.32
9947,39.57,180.84,40.08,69.25,34.13,32.54
9965,41.81,208.12,42.52,74.25,36.57,35.54
9974,37.32,173.36,38.35,71.97,33.15,34.28
9982,37.17,155.54,37.09,65.51,34.09,29.79
10004,38.62,168.96,39.69,68.9,31.42,33.13
10014,34.96,171.6,37.64,73.11,29.45,35.61
10025,40.12,198.22,41.65,69.88,35.24,32.74
10027,36.57,166.54,38.15,70.2,30.79,29.98
10034,42.87,227.26,42.52,75.12,38.5,35.85
10039,36.46,144.76,35.59,68.82,29.88,31.8
10066,40.75,189.2,39.06,66.22,36.65,28.96
10067,40.59,199.54,41.5,74.45,33.27,34.55
10087,38.5,159.5,37.44,68.03,30.87,30.26
10088,35.83,163.24,36.42,67.72,29.65,31.68
10089,35.51,155.76,37.68,71.02,31.57,34.16
10090,36.89,166.76,38.35,69.29,32.44,32.23
10094,38.5,134.86,34.45,66.93,30.2,31.56
10096,40.98,166.32,39.06,66.1,34.61,30.02
10098,38.7,166.54,38.58,67.2,33.23,31.72
10100,38.03,146.08,36.34,66.85,31.85,30.97
10101,37.05,144.32,35.79,64.69,30.08,30.93
10113,34.37,121.0,34.84,62.87,30.12,28.02
10119,36.14,125.84,33.39,66.65,27.87,32.7
10120,38.7,172.26,38.54,70.91,32.32,32.98
10176,35.39,140.14,35.55,69.29,29.29,32.27
10205,44.96,193.82,42.13,68.54,36.69,31.2
10231,35.91,149.82,36.89,67.01,28.94,32.58
10312,37.13,151.8,37.01,68.03,30.79,31.6
10336,41.73,218.68,41.93,76.97,35.47,36.24
10353,37.01,154.44,37.64,65.63,32.2,31.09
10374,41.06,168.52,37.05,69.45,29.37,32.78
10375,37.56,154.22,36.93,68.66,32.09,31.4
10388,35.87,165.44,37.28,73.9,30.39,35.3
10394,44.17,215.16,41.73,73.94,37.95,34.31
10403,40.51,194.04,39.57,70.55,31.93,33.49
10413,38.74,210.98,43.94,74.61,36.38,34.67
10414,40.16,158.84,36.85,64.09,31.57,28.33
10451,39.76,162.14,38.35,67.6,31.85,31.68
10452,37.76,158.4,36.46,65.87,31.85,31.48
10454,38.39,171.16,37.48,68.19,32.2,32.19
10469,39.72,177.98,39.8,66.65,35.31,30.38
10484,39.92,184.14,39.41,70.2,35.31,32.58
10487,41.26,201.74,41.5,70.94,36.61,32.5
10496,41.14,188.76,39.72,70.91,36.38,33.37
10504,39.65,170.94,38.35,68.78,32.17,33.02
10631,39.72,178.2,39.37,69.88,37.72,32.98
10636,38.03,168.3,38.39,69.02,32.8,31.6
10645,40.94,192.94,40.51,69.29,34.8,32.58
10648,41.14,182.38,37.8,70.39,32.17,33.72
10668,36.97,144.76,36.14,72.32,28.31,35.1
10678,41.3,183.48,40.2,68.31,34.09,31.32
10684,40.98,195.8,41.42,69.13,36.57,31.99
10705,42.24,195.14,38.74,74.13,32.24,35.73
10706,39.02,190.96,42.56,67.8,34.06,31.05
10708,38.19,164.56,37.91,67.91,30.43,31.6
10719,42.09,202.62,42.36,69.37,36.77,31.44
10726,41.1,181.5,40.24,66.69,36.18,31.13
10734,38.66,188.76,40.16,72.2,35.24,32.27
10738,38.15,160.6,37.13,68.39,31.57,31.76
10757,44.8,207.9,42.52,66.81,38.74,29.87
10770,43.46,207.9,41.77,69.61,38.9,31.28
10775,36.02,165.88,36.14,75.28,30.24,35.57
10784,38.82,161.04,35.63,69.49,30.0,33.21
10800,38.94,170.28,38.94,67.87,33.11,29.59
10805,40.08,162.58,37.4,70.83,31.02,33.92
10823,44.25,234.74,44.69,70.31,37.99,33.13
10826,34.8,136.18,33.94,65.16,30.63,30.18
10831,36.69,158.62,36.57,69.84,29.21,34.08
10859,39.37,162.58,36.34,69.69,34.8,32.78
10860,48.39,281.16,48.62,71.46,42.28,31.48
10862,43.78,206.8,41.42,72.13,37.56,33.88
