SUBJECT_NUMBER,Chest,Weight,Hip,Sleeve,Height,Waist,Neck,Inseam,Forearm
25892,35.47,141.24,38.66,30.63,64.17,28.39,14.02,28.41,10.24
25894,35.28,140.58,38.78,30.79,62.24,29.13,14.06,28.06,10.2
25895,30.28,100.1,33.15,31.61,65.87,24.13,12.56,31.68,8.35
25896,36.89,129.8,36.77,31.93,64.84,26.97,13.74,28.57,9.96
25897,33.66,128.7,37.13,29.8,63.7,25.98,12.8,28.41,9.25
25898,33.58,118.14,37.44,30.24,61.06,26.77,13.19,26.68,9.41
25899,37.09,138.82,38.66,31.34,63.31,30.24,13.94,28.45,10.31
25900,39.45,161.7,40.59,32.2,66.14,32.44,15.08,29.98,10.79
25903,39.8,177.54,41.54,31.1,63.78,34.17,14.88,25.93,11.61
25905,34.25,118.14,36.14,31.18,64.33,25.67,12.91,28.49,9.65
25907,38.54,162.14,41.1,33.23,65.43,33.9,15.16,29.31,10.59
25909,30.71,94.6,33.74,26.42,56.22,23.43,12.17,24.12,9.06
25910,35.94,137.94,38.39,31.46,64.41,31.02,14.57,29.47,10.28
25911,35.2,157.3,40.12,31.77,63.9,29.88,14.02,27.46,11.77
25913,37.05,134.2,38.5,31.18,62.72,28.74,13.86,28.37,9.72
25914,33.07,112.86,35.59,31.02,61.73,26.1,13.39,29.43,9.57
25915,37.48,141.24,39.8,32.09,64.33,28.78,13.9,29.2,10.24
25916,36.22,131.12,37.76,31.89,64.92,27.64,13.27,29.51,9.8
25918,40.55,157.3,40.91,31.14,62.13,34.45,13.66,29.28,9.65
25919,38.98,137.72,38.58,32.01,65.79,29.84,13.43,29.67,9.17
25922,34.96,161.04,44.25,31.65,65.94,29.84,14.02,29.83,10.24
25988,39.29,163.68,41.02,32.6,66.22,29.76,13.7,29.63,10.31
25990,35.47,136.18,37.05,32.64,65.28,27.83,13.15,29.67,10.08
25991,37.6,143.22,39.41,30.94,63.07,30.28,13.31,29.67,10.24
25992,37.87,156.2,39.57,32.76,64.8,29.92,14.06,28.8,10.2
25993,37.32,157.52,41.18,31.61,65.08,31.3,14.21,27.39,10.75
25994,37.83,152.9,39.09,32.4,63.15,29.96,13.86,29.43,10.59
25995,36.89,127.38,36.85,29.96,62.83,27.6,13.86,29.12,9.92
25997,35.12,155.1,41.22,31.69,64.69,29.02,13.35,29.47,10.71
25998,33.43,130.9,36.1,33.31,65.08,27.76,13.82,29.87,10.35
25999,32.32,104.72,34.88,28.82,61.26,25.59,13.23,28.72,9.06
26000,36.5,133.54,36.38,30.08,64.09,29.45,12.91,29.04,9.13
26002,33.31,115.28,36.02,30.55,58.82,25.28,13.07,28.06,10.16
26004,37.36,160.38,39.33,35.91,67.68,29.88,14.09,34.08,10.39
26006,31.02,105.16,34.76,30.08,60.12,25.47,13.74,27.58,8.9
26010,35.47,132.66,36.93,30.91,64.69,25.2,13.23,29.83,9.72
26016,33.46,114.62,35.04,30.94,61.97,25.2,14.02,28.72,9.06
26019,35.59,139.7,38.46,31.81,65.55,28.23,14.21,30.57,9.69
26020,35.94,130.9,36.26,31.02,64.57,27.24,13.39,29.91,10.16
26021,31.5,112.2,35.98,30.79,62.91,25.67,13.78,29.39,9.25
26022,35.43,127.6,36.38,31.69,63.35,27.17,13.7,29.31,10.04
26023,33.27,118.14,36.26,29.88,62.13,24.69,13.19,29.51,9.29
26024,34.25,124.08,36.65,30.24,61.65,27.13,13.31,26.95,9.17
26025,34.21,130.9,37.2,32.13,65.12,27.2,13.43,29.51,9.8
26026,32.87,132.66,37.44,34.53,67.05,27.48,13.7,33.61,9.92
26027,34.49,139.26,37.87,31.42,63.78,27.6,13.46,29.08,10.35
26028,37.05,171.16,41.46,33.78,67.76,31.57,14.45,31.76,10.91
26030,30.63,128.26,37.24,32.09,66.26,25.79,13.5,31.76,10.04
26031,35.31,152.02,39.37,33.15,64.37,28.9,14.37,30.26,10.04
26032,33.31,147.18,38.39,31.69,65.79,27.83,13.46,30.46,10.16
26035,35.2,139.26,38.86,33.27,65.87,28.15,13.5,31.99,9.84
26036,35.47,143.88,38.27,31.93,66.57,28.94,13.43,32.23,10.16
26038,32.83,118.8,36.77,28.82,61.06,27.28,12.76,28.09,8.74
26042,36.18,143.66,37.83,33.98,67.44,28.27,13.46,31.99,10.35
26043,35.16,114.62,35.04,30.47,64.69,25.51,12.36,31.05,9.76
26045,35.43,126.72,37.6,30.35,62.32,29.17,14.13,28.25,9.92
26046,35.59,134.86,38.46,29.41,62.52,28.43,14.02,26.6,10.08
26047,35.51,155.32,40.04,32.8,64.45,29.49,13.07,30.61,10.24
26048,35.55,133.76,40.16,31.06,61.42,28.03,13.82,27.82,10.12
26050,34.29,151.58,38.43,32.56,65.24,28.35,13.86,31.6,10.51
26051,31.42,104.06,34.09,30.51,60.94,24.49,12.52,28.72,8.98
26052,34.45,136.62,38.39,33.5,66.93,27.52,13.15,31.6,9.45
26055,31.46,107.58,35.43,28.98,62.13,24.33,13.11,27.19,8.9
26056,35.79,141.02,37.95,32.4,65.04,28.62,13.98,32.98,10.39
26058,35.94,131.34,36.46,31.38,60.39,29.37,13.43,27.74,10.35
26059,33.9,136.4,38.5,31.65,63.9,26.93,12.91,29.87,10.16
26060,32.2,143.88,39.25,33.9,66.3,28.15,14.06,33.21,9.53
26061,31.46,105.6,33.19,32.95,65.59,23.66,12.68,31.99,9.29
26062,35.08,140.36,38.62,33.98,64.88,27.68,13.58,31.6,9.72
26063,35.79,163.9,40.51,33.78,66.22,31.3,13.98,31.99,11.02
26064,36.77,144.76,39.65,32.44,63.19,27.87,13.31,29.51,10.24
26065,35.35,138.82,39.06,33.86,65.63,27.95,14.17,30.26,10.24
26066,37.87,152.46,38.98,31.54,65.04,31.69,13.31,29.87,9.84
26067,34.84,138.38,36.26,32.72,66.65,26.69,13.39,30.89,10.0
26068,39.72,159.06,39.37,32.4,64.21,29.84,14.65,30.69,10.43
26072,32.48,122.32,36.54,30.55,62.32,26.42,13.66,27.98,9.76
26073,31.38,111.76,33.54,32.6,65.16,24.41,12.87,31.05,9.8
26074,38.46,147.62,37.56,32.76,63.9,30.0,13.74,31.01,10.39
26075,35.55,135.52,38.5,29.49,61.85,28.27,12.87,27.15,9.72
26076,35.94,134.86,39.41,28.94,60.16,30.28,12.72,26.2,10.2
26078,35.91,150.26,40.35,32.4,67.09,28.39,13.86,31.24,10.47
26079,32.4,113.08,33.23,31.73,65.75,24.49,12.32,29.79,8.98
26080,39.17,172.7,41.73,33.43,66.65,32.8,15.31,30.81,11.1
26081,37.09,138.82,39.25,32.05,62.4,30.04,14.25,28.29,10.43
26082,32.36,116.6,34.41,32.28,65.31,26.85,13.19,33.09,9.13
26083,33.31,115.06,35.16,30.75,61.54,26.5,13.39,28.76,9.25
26084,33.46,139.7,38.9,32.01,65.55,27.76,14.06,30.22,10.16
26085,39.41,149.6,38.74,32.32,64.96,29.29,13.74,29.43,10.51
26086,32.8,116.6,34.17,30.67,61.81,26.97,12.4,29.71,9.57
