SUBJECT_NUMBER,Chest,Weight,Hip,Sleeve,Height,Waist,Neck,Inseam,Forearm
7590,40.28,177.1,39.02,35.83,70.55,32.32,15.87,32.98,12.09
7598,38.7,154.0,36.73,33.66,67.76,30.55,16.34,33.33,11.34
7599,40.71,206.14,41.26,36.38,72.8,34.13,18.03,33.8,13.31
7625,37.95,163.02,38.5,33.7,67.01,29.72,16.34,30.5,11.5
7692,38.86,169.62,38.11,35.63,71.3,31.57,16.26,33.69,11.81
7705,43.58,202.18,40.35,37.28,72.6,34.57,17.05,33.17,12.91
7714,34.45,124.74,33.35,32.05,65.63,28.31,14.21,32.7,11.22
7720,40.08,194.92,42.48,34.72,67.6,33.03,17.64,30.54,13.23
7739,37.91,157.74,37.8,34.06,68.9,32.87,15.28,32.54,11.73
7745,38.78,166.98,38.31,36.1,70.67,30.63,14.88,34.59,11.85
7774,43.35,216.04,42.72,34.09,70.63,38.78,16.57,31.4,12.6
7813,36.77,157.3,37.36,34.41,66.77,30.94,16.1,31.64,11.81
7832,40.35,184.58,38.23,35.55,70.39,33.94,16.42,33.96,12.32
7842,36.93,170.06,40.16,33.78,66.93,31.1,15.91,30.06,12.48
7844,33.82,144.98,36.14,35.24,67.68,30.28,15.55,30.65,10.98
7851,37.72,177.32,39.33,35.28,72.2,32.52,15.94,33.17,11.89
7890,39.53,170.94,37.87,36.46,70.47,34.41,15.24,33.41,11.5
7911,36.5,157.3,36.1,35.79,69.96,30.91,15.51,33.8,11.3
7921,36.38,142.12,34.65,33.11,67.68,29.92,15.08,31.6,11.93
7924,36.14,148.94,37.64,32.83,65.16,31.57,15.08,29.35,11.89
7934,40.59,190.96,40.67,34.17,67.91,34.72,16.18,31.2,12.13
7940,35.98,152.68,36.77,34.53,69.72,31.22,14.84,32.78,10.87
7948,33.07,125.18,33.98,30.51,63.74,28.78,14.88,28.33,11.57
7949,38.35,160.16,37.32,34.53,69.96,29.69,15.51,31.44,11.93
7954,38.54,174.46,37.99,36.89,70.16,32.76,16.69,34.63,12.2
7961,40.71,198.88,42.2,35.35,70.75,34.88,15.55,31.8,11.42
7972,39.29,192.06,41.18,34.76,69.61,32.76,15.87,30.77,12.68
7973,39.37,183.04,38.78,36.65,72.44,32.6,16.5,35.22,12.48
7975,38.98,163.02,38.58,32.8,63.86,36.81,15.35,28.06,12.2
7978,39.41,185.9,40.04,35.59,71.26,33.07,15.87,32.98,11.85
7981,35.39,144.1,35.47,32.09,65.43,30.79,16.14,29.98,11.5
8022,35.08,138.6,35.51,34.92,67.87,28.98,15.0,31.32,11.02
8023,38.46,174.46,39.33,35.55,68.43,31.69,17.2,32.11,12.13
8024,38.35,151.8,37.44,32.8,64.49,32.56,15.75,27.94,11.61
8029,40.51,174.9,39.13,35.87,70.75,32.68,15.71,33.02,11.46
8032,36.34,157.74,37.99,34.17,69.57,31.73,15.08,31.13,11.26
8033,42.36,193.82,40.91,36.42,70.55,36.18,17.28,33.33,12.64
8036,35.63,136.4,34.88,34.69,66.73,29.33,14.65,32.07,11.26
8038,42.68,199.76,40.35,35.51,70.28,33.54,16.54,32.9,13.66
8051,41.06,170.72,39.06,33.98,66.77,32.99,15.24,30.14,12.24
8058,38.15,171.38,38.66,36.5,68.23,33.23,16.34,32.86,12.17
8063,38.46,179.3,39.69,36.34,70.98,34.06,16.65,32.94,12.01
8064,40.51,201.08,41.54,35.75,71.34,37.28,16.73,33.53,12.4
8065,40.51,199.54,41.93,36.14,71.85,37.44,16.1,33.41,11.61
8066,39.96,187.22,39.53,37.87,73.82,34.65,17.13,35.81,12.8
