SUBJECT_NUMBER,Chest,Weight,Hip,Height,Waist,Inseam
21251,37.8,147.62,38.94,64.84,31.06,28.96
21252,38.15,140.8,38.74,61.02,30.87,28.29
21253,34.76,115.94,36.81,57.64,27.91,24.71
21257,37.28,153.78,39.37,66.3,28.82,29.71
21259,33.74,123.42,34.33,67.95,26.34,33.84
21260,35.63,126.5,36.3,64.88,27.32,29.43
21262,37.13,152.46,38.11,68.27,29.88,32.23
21265,37.87,154.88,41.1,65.94,30.35,31.76
21266,40.39,147.4,39.92,60.51,34.29,26.56
21269,33.54,126.72,36.65,65.43,26.18,29.43
21270,37.87,139.26,39.21,63.74,29.8,28.57
21271,38.74,136.84,38.23,63.03,29.84,29.83
21276,40.67,166.32,41.18,65.12,32.4,29.24
21277,40.59,167.86,42.64,66.34,32.32,28.92
21279,39.92,167.2,40.04,69.57,33.54,33.09
21280,37.32,136.62,39.02,67.48,28.54,30.77
21283,35.63,137.94,39.29,63.11,27.95,29.31
21284,36.18,144.1,40.04,65.98,28.9,29.31
21286,34.72,115.28,35.47,61.61,27.72,28.61
21288,32.2,114.84,35.59,63.9,26.22,28.02
21289,34.45,128.7,37.8,62.32,28.54,27.23
21290,38.39,156.2,40.35,63.7,31.14,28.17
21296,32.2,125.62,35.59,66.38,24.76,31.76
21305,33.86,124.96,36.22,66.73,26.02,30.38
21307,37.36,148.06,38.66,64.41,29.84,29.35
21311,32.01,113.74,33.23,64.25,24.41,30.54
21316,37.8,150.04,37.52,65.43,30.55,31.72
21318,38.03,147.62,39.65,64.88,33.82,29.51
21320,33.15,120.78,35.94,62.4,26.18,28.72
21321,34.96,161.92,42.6,67.6,30.08,31.87
21323,37.32,156.86,39.53,65.08,30.31,28.65
21324,37.32,154.66,42.6,61.73,31.61,26.68
21325,37.8,161.48,40.98,66.06,31.73,30.42
21328,37.2,137.5,38.66,62.83,29.8,27.15
21329,30.67,102.52,34.8,60.08,23.54,26.87
21630,33.19,108.24,35.31,59.33,25.31,27.31
21631,36.38,130.02,37.32,66.38,28.74,32.03
21632,32.52,122.1,36.69,64.88,27.36,28.41
21633,34.21,137.28,40.12,64.29,29.29,29.59
21651,34.13,144.54,39.57,66.18,27.68,31.4
21652,33.31,126.28,36.46,63.94,28.03,30.14
21653,43.27,178.2,41.61,68.19,33.23,29.94
21654,32.05,122.76,35.87,66.61,26.69,30.38
21655,32.8,116.82,35.91,63.27,26.5,27.94
21659,36.93,144.98,38.43,63.62,30.31,30.54
21660,35.16,123.42,36.93,62.99,25.31,27.03
21662,33.78,125.62,37.8,63.86,26.3,29.08
21663,33.27,126.28,36.34,61.3,26.97,28.8
21667,35.59,112.2,35.83,58.23,27.52,26.83
21676,33.46,135.52,40.47,65.71,27.87,31.09
21677,35.0,134.64,38.82,63.86,26.18,28.88
21678,32.28,131.78,36.46,66.57,27.6,32.27
21680,39.17,157.3,39.37,61.89,32.24,29.91
21686,34.84,120.78,36.81,63.43,25.67,29.43
21690,32.87,127.16,37.52,60.94,27.44,27.35
21691,34.21,148.5,39.72,65.87,28.11,29.83
21692,36.14,140.36,37.48,66.38,27.83,30.77
21695,32.64,127.6,36.5,64.88,27.09,31.13
21698,34.49,127.82,36.34,62.6,27.2,28.84
21701,30.28,111.76,35.91,64.33,24.09,27.94
21705,33.15,133.1,36.5,65.71,27.99,31.76
21706,34.8,131.12,37.76,65.94,26.77,31.2
21707,34.25,130.46,39.25,63.27,27.72,28.06
21708,36.3,142.56,37.48,64.76,28.39,29.83
21709,40.24,154.44,39.06,65.43,30.43,30.65
21714,35.51,145.42,40.59,65.2,29.09,29.63
21715,34.61,118.58,36.77,63.78,25.31,28.76
21716,38.35,157.08,40.12,66.61,31.06,32.27
22039,38.78,158.84,40.91,64.06,32.4,28.53
22040,36.89,150.92,38.86,66.22,30.63,31.2
22044,34.96,125.62,37.68,63.15,27.76,27.7
22046,39.21,175.34,40.24,68.54,31.97,33.49
22077,36.34,142.34,36.22,67.05,28.7,32.19
22080,35.43,144.1,39.17,61.89,28.94,27.03
22085,34.61,127.38,37.68,60.2,29.21,28.41
22100,35.08,128.26,37.36,62.13,29.8,27.23
22102,32.13,120.34,35.2,66.38,24.49,32.07
22104,34.21,144.1,38.35,66.06,25.43,30.69
22122,35.08,134.2,37.2,66.06,28.31,30.65
22128,34.33,116.6,35.35,61.38,28.62,27.46
22132,34.65,132.44,37.76,63.7,28.11,30.77
22138,32.87,117.7,37.52,64.53,25.39,29.16
22144,35.08,138.82,37.68,64.92,27.68,31.09
22146,31.26,114.84,34.45,65.43,24.84,30.18
22153,42.09,174.9,39.92,65.59,35.35,29.55
22158,40.71,184.8,42.36,66.85,35.08,31.44
22159,37.6,156.64,38.94,67.2,29.41,31.52
22164,34.29,121.0,39.49,61.5,27.56,27.43
22171,35.51,110.44,34.96,61.06,28.43,26.91
22174,36.26,150.48,40.08,65.04,29.76,29.04
22176,38.46,159.06,44.72,64.72,28.9,29.59
22186,38.11,146.52,37.8,61.61,32.44,28.09
22224,35.94,143.88,38.58,66.3,27.95,31.99
22373,34.45,133.32,37.52,62.64,27.95,28.88
22376,34.92,131.78,38.9,66.38,25.47,29.43
22377,37.36,166.98,40.47,68.19,31.65,32.62
22399,34.37,122.76,36.93,62.99,28.27,27.9
22402,38.11,146.3,39.8,63.19,32.2,29.55
22434,34.45,132.88,38.35,63.27,29.45,28.72
22444,35.16,136.84,37.01,66.1,27.13,31.05
22446,35.35,125.62,36.5,63.07,28.23,27.31
22470,34.53,140.8,40.31,65.28,26.26,30.1
22474,33.98,121.22,35.16,63.78,26.42,28.84
22475,41.14,188.98,42.95,70.55,33.07,33.09
22490,35.59,139.48,39.37,61.61,27.64,27.82
22493,32.91,116.16,34.8,63.23,26.5,29.31
22511,36.97,150.92,42.01,62.44,30.51,27.43
22512,32.72,126.5,35.55,63.7,26.38,29.79
22514,36.65,192.28,44.49,73.62,30.75,34.35
22525,34.41,145.86,40.08,63.94,29.65,29.12
22527,43.07,175.56,40.43,66.3,37.09,31.48
22530,38.15,142.78,39.57,63.39,29.13,30.14
22954,36.46,155.1,42.09,61.77,31.5,27.27
22955,38.54,167.86,40.87,65.63,33.46,29.75
22956,32.68,110.0,35.35,59.53,26.06,26.91
22958,37.2,143.0,37.2,61.77,30.31,28.92
22959,34.76,133.76,36.54,62.99,29.17,29.51
22963,35.51,139.48,40.98,63.35,29.29,27.78
22964,36.26,153.12,41.06,62.09,31.3,29.35
22966,34.57,115.94,33.46,63.46,26.3,30.06
22969,34.76,120.12,36.02,60.55,25.35,27.23
22970,34.41,130.24,37.28,64.76,27.48,30.26
22993,35.24,132.88,36.65,65.35,28.58,31.05
22995,37.05,156.2,40.55,62.56,31.38,28.13
22996,35.16,141.68,39.65,64.69,27.6,29.31
22998,35.08,140.14,38.5,63.78,26.46,27.35
23000,35.08,112.42,34.49,63.43,27.09,29.28
23002,37.24,163.46,41.38,68.35,29.41,30.69
23015,34.76,139.48,37.87,66.1,26.5,30.89
23029,33.15,122.32,37.64,63.31,25.39,28.84
23030,40.55,182.6,45.35,65.39,36.14,29.2
23031,40.47,165.0,40.71,61.38,31.97,28.25
23032,33.43,111.32,33.94,60.63,24.41,29.55
23039,36.61,137.06,40.47,61.97,28.94,27.62
23049,35.08,131.12,39.41,62.8,26.93,29.08
23056,32.6,120.56,35.43,65.12,25.94,29.98
23058,39.33,144.54,37.76,64.96,30.75,30.34
23066,42.28,170.5,42.4,64.72,33.43,28.09
23083,33.62,139.04,40.43,62.95,28.5,28.13
23085,37.48,162.8,41.42,64.57,31.46,30.54
23102,39.49,150.26,40.12,64.49,30.43,28.96
23105,30.59,101.2,34.53,62.44,26.02,28.72
23106,35.75,134.42,36.3,65.16,28.07,30.81
23108,40.51,167.86,42.17,64.8,32.4,28.76
23109,35.83,136.4,38.66,65.67,27.91,30.42
23110,33.94,128.92,36.61,64.25,26.73,29.83
23111,34.57,129.58,36.06,67.48,27.72,33.65
23126,34.13,127.82,35.2,63.19,26.06,30.3
23132,35.39,168.3,40.63,64.72,31.73,30.61
23134,37.28,134.2,38.03,62.28,29.41,27.39
23151,35.47,129.8,37.28,63.46,28.5,29.39
23282,35.79,170.28,41.97,70.0,30.0,35.18
23292,30.94,115.72,34.17,67.6,25.04,32.82
23295,35.24,134.42,40.35,61.61,29.84,27.39
23745,35.2,136.18,38.03,63.35,27.8,29.43
23746,34.25,129.14,37.91,65.0,27.87,29.71
23747,38.23,141.02,39.29,63.7,29.84,28.21
23750,31.54,139.48,37.8,68.98,27.56,33.21
23752,38.11,143.66,38.86,63.23,27.48,29.51
23753,33.27,116.16,37.95,63.39,26.89,29.08
23755,37.87,144.1,37.68,67.01,30.04,30.18
23758,42.28,189.42,43.31,67.4,34.02,31.32
23762,38.5,154.88,39.21,67.17,32.64,33.41
23768,32.83,113.52,35.51,61.81,26.42,28.61
23769,40.47,159.72,41.34,63.15,33.15,29.43
23881,40.04,165.0,39.29,64.96,33.94,28.25
23893,37.6,151.36,40.28,64.69,29.29,29.79
23900,36.1,136.4,37.6,63.5,31.73,30.42
23915,39.02,165.66,40.94,65.39,30.12,31.13
23923,37.87,152.46,41.5,63.27,30.28,28.61
23925,35.47,132.66,38.66,61.46,26.69,26.48
23930,36.42,132.66,38.07,63.23,29.57,27.58
23934,33.11,114.4,36.06,58.27,26.1,25.93
23935,33.66,122.98,36.5,64.88,25.59,30.97
23936,39.33,160.6,41.46,64.02,31.38,29.43
23937,39.92,143.88,38.31,61.54,31.5,27.74
23938,32.13,128.04,37.83,64.29,27.17,30.93
23939,34.33,142.78,39.09,66.34,28.7,30.14
23941,36.1,151.14,41.77,67.76,29.53,30.26
23948,33.82,122.32,36.81,63.58,25.39,29.91
23953,34.57,132.66,37.8,64.02,26.42,30.06
23960,32.13,117.04,35.55,64.17,24.92,30.85
23975,35.16,125.4,38.54,62.95,28.15,28.37
23978,34.76,143.0,38.03,65.24,29.21,31.6
23979,35.43,131.34,37.95,62.32,28.62,27.86
23980,33.94,123.2,37.32,59.57,29.53,25.06
23981,36.02,138.16,37.68,62.91,30.0,27.98
23986,35.98,141.68,39.8,63.66,28.86,28.65
23993,35.43,142.12,37.72,66.02,30.94,32.66
24013,32.95,112.86,35.04,62.05,24.96,27.62
24017,36.26,129.8,35.94,67.13,27.91,31.48
24027,38.11,155.76,40.59,68.19,29.17,31.87
24035,35.94,138.16,38.03,66.22,28.78,30.1
24067,38.66,152.02,38.7,61.81,31.26,29.47
24248,36.22,139.7,38.39,64.8,27.64,29.47
24252,36.34,172.26,40.2,66.5,32.48,31.8
24253,37.32,139.92,38.74,63.82,28.94,27.5
24254,39.37,142.56,38.78,61.89,31.85,28.92
24255,32.91,111.54,35.63,61.42,27.05,28.45
